"SITE_ID","SITE_NUM","SITE_NAME","ACTIVE","INACTIVE","AGENCY","STATE","COUNTY","TIME_ZONE","LATITUDE","LONGITUDE","ELEVATION","MAPID","LAND_USE","TERRAIN","MLM","NADP_ID","NADP_DISTANCE","UPDATE_DATE"
"QAK172","172.0","Quaker City","dom","","EPA","OH","Noble","EA","39.942714","-81.337914","371.0","","Agric","Rolling","Mixed","OH49","23.458","01/30/2020 13:25:29"
"QAK272","272.0","Quaker City Collocated","","a","EPA","OH","Noble","EA","39.942714","-81.337914","371.0","","Agric","Rolling","","OH49","23.458","01/30/2020 13:25:29"
"RCK163","163.0","Reynolds Creek","","dom","EPA","ID","Owyhee","MO","43.21","-116.75","1198.0","Silver City, ID","Range","Rolling","Mixed","ID11","0.567","01/30/2020 13:25:29"
"RCK263","263.0","Reynolds Creek Collocated","","dom","EPA","ID","Owyhee","MO","43.21","-116.75","1198.0","","Range","Rolling","Mixed","ID11","0.567","01/30/2020 13:25:29"
"ROM206","206.0","Rocky Mtn NP Collocated","domt","","EPA","CO","Larimer","MO","40.278129","-105.545635","2742.0","","Forest","Complex","No","CO19","9.987","01/30/2020 13:25:29"
"ROM406","406.0","Rocky Mtn NP","dom","","NPS","CO","Larimer","MO","40.278129","-105.545635","2743.0","","Forest","Complex","No","CO19","9.987","01/30/2020 13:25:29"
"SAL133","133.0","Salamonie Reservoir","dom","","EPA","IN","Wabash","EAno","40.816038","-85.661407","250.0","Lagro, IN","Agric","Flat","Yes","IN20","16.873","01/30/2020 13:25:29"
"SAV164","164.0","Saval Ranch","","dom","EPA","NV","Elko","PA","41.29","-115.86","1873.0","Mahala Creek East, NV","Forest","Rolling","Mixed","ID11","225.024","01/30/2020 13:25:29"
"SCR180","180.0","Scotia Range","","dmw","EPA","PA","Centre","EA","40.7884","-77.9464","376.0","Pine Grove Mills, PA","Forest","Rolling","","PA15","0.052","01/30/2020 13:25:29"
"SHN418","418.0","Shenandoah NP - Big Meadows","dom","","NPS","VA","Madison","EA","38.5231","-78.43471","1073.0","Big Meadows, VA","Forest","Mountaintop","Mixed","VA28","0.008","01/30/2020 13:25:29"
"SIK270","270.0","Sikes Collocated","","a","EPA","LA","Winn","CE","32.0575","-92.4353","68.0","","Agric","Flat","","AR02","174.515","01/30/2020 13:25:29"
"SND152","152.0","Sand Mountain","dom","","EPA","AL","DeKalb","CE","34.289001","-85.970065","349.0","Crossville, AL","Agric","Rolling","Yes","AL99","0.047","01/30/2020 13:25:29"
"SPD111","111.0","Speedwell","domp","w","EPA","TN","Claiborne","EA","36.46983","-83.826511","361.0","Ausmus, TN","Agric","Rolling","Mixed","TN04","0.062","01/30/2020 13:25:29"
"STK138","138.0","Stockton","dom","","EPA","IL","Jo Daviess","CE","42.287216","-89.99995","281.0","Stockton, IL","Agric","Rolling","Mixed","WI06","95.97","01/30/2020 13:25:29"
"SUM156","156.0","Sumatra","domp","w","EPA","FL","Liberty","EA","30.110226","-84.99038","16.0","Sumatra, FL","Forest","Flat","Yes","FL23","0.045","01/30/2020 13:25:29"
"SUM256","256.0","Sumatra Collocated","","dom","EPA","FL","Liberty","EA","30.110226","-84.99038","16.0","","Forest","Flat","Yes","FL23","0.045","01/30/2020 13:25:29"
"THR422","422.0","Theodore Roosevelt NP","dom","","NPS","ND","Billings","MO","46.894844","-103.377719","850.0","","Forest","Rolling","Mixed","ND00","0.036","01/30/2020 13:25:29"
"UIN162","162.0","Uinta","","domw","EPA","UT","Duchesne","MO","40.55","-110.32","2500.0","Burnt Mill Spring, UT","Range","Complex","No","UT95","75.618","01/30/2020 13:25:29"
"UVL124","124.0","Unionville","domp","w","EPA","MI","Tuscola","EA","43.613572","-83.359869","202.0","Ellington, MI","Agric","Flat","Yes","MI51","0.008","01/30/2020 13:25:29"
"VII423","423.0","Virgin Islands NP - Lind Pt","","dom","NPS","VI","St. John","AT","18.3364","-64.7964","80.0","","Forest","Complex","No","VI01","0.031","01/30/2020 13:25:29"
"VIN140","140.0","Vincennes","dom","","EPA","IN","Knox","EAno","38.740792","-87.484923","136.0","Fritchton, IN","Agric","Rolling","Mixed","IN22","0.05","01/30/2020 13:25:29"
"VOY413","413.0","Voyageurs NP","dom","","NPS","MN","St. Louis","CE","48.412518","-92.829225","429.0","","Forest","Rolling","Mixed","MN32","0.121","01/30/2020 13:25:29"
"HVT424","424.0","Hawaii Volcanoes NP","","dom","NPS","HI","Hawaii","HAno","19.4197","-155.24","1199.0","","Forest/Tropical","Complex","No","CA45","3773.537","01/30/2020 13:25:29"
"SEK430","430.0","Sequoia NP - Ash Mountain","dom","","NPS","CA","Tulare","PA","36.489469","-118.829153","510.0","","Forest","Mountaintop","No","CA75","9.659","01/30/2020 13:25:29"
"OLY421","421.0","Olympic NP","","dom","NPS","WA","Clallam","PA","48.0975","-123.4256","125.0","","Forest","Complex","No","WA14","46.165","01/30/2020 13:25:29"
"SEK402","402.0","Sequoia NP - Lookout Pt","","dom","NPS","CA","Tulare","PA","36.4292","-118.7625","1225.0","","Forest","Mountaintop","No","CA75","15.255","01/30/2020 13:25:29"
"WEL149","149.0","Wellston","","dom","EPA","MI","Wexford","EA","44.2249","-85.8198","295.0","Wellston, MI","Forest","Flat","Yes","MI53","0.123","01/30/2020 13:25:29"
"WPA103","103.0","West Point A","","dom","EPA","NY","Orange","EA","41.35","-74.05","203.0","","Forest","Complex","No","NY99","0.181","01/30/2020 13:25:29"
"WPB104","104.0","West Point B","","dom","EPA","NY","Orange","EA","41.35","-74.05","203.0","Popolopen Lake, NY","Forest","Complex","No","NY99","0.181","01/30/2020 13:25:29"
"WSP144","144.0","Wash. Crossing","dom","","EPA","NJ","Mercer","EA","40.312303","-74.872663","59.0","Pennington, NJ","Range","Rolling","Mixed","NJ99","1.656","01/30/2020 13:25:29"
"WST109","109.0","Woodstock","dom","","EPA","NH","Grafton","EA","43.944519","-71.700787","255.0","Woodstock, NH","Forest","Complex","No","NH02","0.217","01/30/2020 13:25:29"
"YEL408","408.0","Yellowstone NP","dom","","NPS","WY","Teton","MO","44.565356","-110.400338","2430.0","","Agric","Rolling","No","WY08","39.065","01/30/2020 13:25:29"
"YOS404","404.0","Yosemite NP - Turtleback Dome","dom","","NPS","CA","Mariposa","PA","37.713251","-119.706196","1605.0","","Forest","Complex","No","CA99","16.241","01/30/2020 13:25:29"
"ABT147","147.0","Abington","domp","w","EPA","CT","Windham","EA","41.84046","-72.010368","202.0","Hampton, CT","Urban/Agric","Rolling","Mixed","CT15","0.056","01/30/2020 13:25:29"
"ALH157","157.0","Alhambra","domp","w","EPA","IL","Madison","CE","38.869001","-89.622815","164.0","Pocohantas, IL","Agric","Flat","Yes","IL46","0.08","01/30/2020 13:25:29"
"ALH257","257.0","Alhambra Collocated","","domw","EPA","IL","Madison","CE","38.869001","-89.622815","164.0","","Agric","Flat","Yes","IL46","0.08","01/30/2020 13:25:29"
"ANA115","115.0","Ann Arbor","domp","w","EPA","MI","Washtenaw","EA","42.416636","-83.90218","266.0","Pinckney, MI","Forest","Flat","Mixed","MI52","0.035","01/30/2020 13:25:29"
