"Var1","Var2","value"
"aod_mix_59","aod_mix_09",0.889
"aod_mix_60","aod_mix_09",0.907
"aod_mix_61","aod_mix_09",0.896
"aod_mix_62","aod_mix_09",0.879
"aod_mix_63","aod_mix_09",0.929
"aod_mix_64","aod_mix_09",0.912
"aod_mix_65","aod_mix_09",0.891
"aod_mix_66","aod_mix_09",0.87
"aod_mix_67","aod_mix_09",0.891
"aod_mix_68","aod_mix_09",0.863
"aod_mix_69","aod_mix_09",0.836
"aod_mix_70","aod_mix_09",0.82
"aod_mix_71","aod_mix_09",0.857
"aod_mix_72","aod_mix_09",0.844
"aod_mix_73","aod_mix_09",0.837
