Latitude,Longitude,SiteName,SiteCode,EPACode,n,State.Code,County.Code,Site.Num
45.8598,-114.0001,Sula Peak,SULA1,300819000,2596,30,081,9000
46.2889,-85.9503,Seney,SENE1,261539000,3808,26,153,9000
46.6243,-121.3881,White Pass,WHPA1,530410007,2584,53,041,0007
46.6964,-68.0333,Presque Isle,PRIS1,230031020,2464,23,003,1020
46.7583,-122.1244,Mount Rainier NP,MORA1,530530014,2597,53,053,0014
46.8262,-111.7107,Gates of the Mountains,GAMO1,300499000,3718,30,049,9000
46.8948,-103.3777,Theodore Roosevelt,THRO1,380070002,2596,38,007,0002
47.1222,-113.1544,Monture,MONT1,300779000,2572,30,077,9000
47.422,-121.4259,Snoqualmie Pass,SNPA1,530370004,2584,53,037,0004
47.4596,-88.1491,Isle Royale NP,ISLE1,260839000,2596,26,083,9000
47.5696,-122.3119,Puget Sound,PUSO1,530330080,2377,53,033,0080
47.58227,-108.71964,UL Bend,ULBE1,300279000,2589,30,027,9000
47.7734,-114.269,Flathead,FLAT1,300479000,2314,30,047,9000
47.9045,-117.8609,Spokane Res.,SPOK1,530630051,484,53,063,0051
47.9466,-91.4955,Boundary Waters Canoe Area,BOWA1,270759000,2596,27,075,9000
47.9549,-115.6709,Cabinet Mountains,CABI1,300899000,2538,30,089,9000
48.0065,-122.9727,Olympic,OLYM1,530090020,3603,53,009,0020
48.29782,-124.62488,Makah Tribe Site #2,MAKA2,NA,1289,NA,NA,NA
48.308,-105.1022,Fort Peck,FOPE1,300859000,2314,30,085,9000
48.37185,-124.595,Makah Tribe,MAKA1,NA,507,NA,NA,NA
48.3877,-119.9275,Pasayten,PASA1,530470012,2484,53,047,0012
48.4126,-92.8286,Voyageurs NP #2,VOYA2,271379000,2596,27,137,9000
48.4871,-104.4757,Medicine Lake,MELA1,300919000,4046,30,091,9000
48.5105,-113.9966,Glacier NP,GLAC1,300299001,2596,30,029,9001
48.6419,-102.4022,Lostwood,LOST1,380130004,2596,38,013,0004
48.7316,-121.0646,North Cascades,NOCA1,530730022,2583,53,073,0022
51.029,-115.0336,Barrier Lake,BALA1,NA,756,NA,NA,NA
55.3255,-160.5063,Simeonof,SIME1,020130002,2401,02,013,0002
56.61076,-132.81234,Petersburg,PETE1,022809000,639,02,280,9000
59.9925,-152.6656,Tuxedni,TUXE1,021220009,1597,02,122,0009
60.01232,-151.71149,Kenai Peninsula Borough,KPBO1,NA,701,NA,NA,NA
62.3153,-150.3156,Trapper Creek,TRCR1,021700011,3505,02,170,0011
63.7233,-148.9675,Denali NP,DENA1,020680003,2595,02,068,0003
66.9025,-151.517,Gates of the Arctic NP,GAAR1,NA,852,NA,NA,NA
67.09934,-157.8628,Ambler,AMBL1,021889000,104,02,188,9000
68.63178,-149.60601,Toolik Lake Field Station,TOOL1,021859000,315,02,185,9000
NA,NA,FOCO2,FOCO2,NA,98,NA,NA,NA
